Table 1: Multidimensional Poverty Index: developing countries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SDG 1.2,,,,,,,,,,,,,,,,,,,,SGD 1.2,,SGD 1.1,
,,,,,Population in multidimensional poverty,,,,,,,,,,,a,,,Contribution of deprivation in dimension to overall multidimensional poverty,,,,,a,Population living below monetary poverty line (%),,,
,Multidimensional Poverty Index,,,a,Headcount,,,,,,,,,,,,,a,,,,,,,,,,
,Year and survey,b,,,,,(thousands),,,,Intensity of deprivation,,Inequality among the poor,,Population in severe multidimensional poverty,,Population vulnerable to multidimensional poverty,,Health,,Education,,Standard of living,,National poverty line,,PPP $2.15 a day,
Country,2012-2023,,Value,,(%),,In survey year,,2022,,(%),,Value,,(%),,(%),,(%),,,,,,(2012-2023),d,(2012-2023),d
Estimates based on surveys for 2018-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2022/2023 M,,0.360,c,64.9,c,"26,897",c,"26,329",c,55.5,c,0.020,c,39.1,c,19.9,c,24.1,c,42.5,c,33.4,c,54.5,,..,
Albania,2017/2018 D,,0.003,,0.7,,20,,20,,39.1,,..,e,0.1,,5.0,,28.3,,55.1,,16.7,,22.0,,0.0,
Algeria,2018/2019 M,,0.005,,1.4,,598,,628,,39.2,,0.007,,0.2,,3.6,,31.2,,49.3,,19.5,,..,,..,
Argentina,2019/2020 M,f,0.001,g,0.4,g,195,g,196,g,34.0,g,..,e,0.0,g,1.6,g,69.7,g,21.4,g,8.9,g,39.2,,0.6,
Bangladesh,2019 M,,0.104,,24.6,,"40,636",,"41,737",,42.2,,0.010,,6.5,,18.2,,17.3,,37.6,,45.1,,18.7,,5.0,
Benin,2021/2022 M,,0.290,,55.9,,"7,695",,"7,695",,51.8,,0.021,,30.8,,17.8,,18.9,,38.8,,42.3,,38.5,,12.7,
Bhutan,2022 N,,0.039,"g,j",9.8,"g,j",76,"g,j",76,"g,j",39.4,"g,j",0.008,"g,j",1.6,"g,j",8.3,"g,j",65.4,"g,j",17.5,"g,j",17.1,"g,j",12.4,,0.0,
