Table 2: Multidimensional Poverty Index: changes over time based on harmonized estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Population in mulitidmensional poverty,,,,,a,People who are multidimensionally poor and deprived in each indicator,,,,,,,,,,,,,,,,,,,
,,,,,,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,
,,Multidimensional Poverty Index,a,,,,,(thousands),,Intensity of deprivation,,"
",,,,,,,,,,,,,,,,,,,
Country,,Year and survey,b,Value,,(%),,In survey year,,(%),,Nutrition ,,Child Mortality ,,Years of schooling,,School attendance,,Cooking fuel ,,Sanitation ,,Drinking water,,Electricity ,,Housing ,,Assets,
Afghanistan,"d,f",2015/2016 D,,0.234,,46.9,,"16,287",,49.9,,,,8.1,,29.3,,35.0,,,,41.3,,26.6,,22.9,,45.6,,13.6,
Afghanistan,"d,f",2022/2023 M,,0.268,,52.2,,"21,630",,51.4,,,,8.4,c,37.5,,43.8,,,,37.9,,26.6,c,13.0,,50.7,,29.1,
Albania,,2008/2009 D,,0.008,,2.1,,61,,37.8,,1.3,,0.3,,0.4,,1.0,,1.8,,1.0,,0.8,,0.0,,1.3,,0.3,
Albania,,2017/2018 D,,0.003,,0.7,,20,,39.1,c,0.5,,0.0,,0.5,c,0.4,,0.3,,0.1,,0.2,,0.0,c,0.1,,0.0,
Algeria,,2012/2013 M,,0.008,,2.1,,809,,38.5,,1.2,,0.4,,1.5,,0.9,,0.2,,0.8,,0.6,,0.3,,0.8,,0.2,
Algeria,,2018/2019 M,,0.005,,1.4,,598,,39.2,c,0.8,,0.2,,1.0,,0.6,,0.1,c,0.6,c,0.4,c,0.2,,0.4,,0.1,
Armenia,,2010 D,,0.001,,0.4,,12,,35.9,,0.4,,0.1,,0.0,,0.2,,0.0,,0.2,,0.1,,0.0,,0.0,,0.0,
Armenia,,2015/2016 D,,0.001,,0.2,,5,,35.9,c,0.1,,0.0,,0.0,c,0.1,c,0.1,c,0.2,c,0.0,c,0.0,c,0.0,c,0.0,c
Bangladesh,,2014 D,,0.175,,37.6,,"59,335",,46.5,,16.4,,2.3,,25.3,,9.5,,35.9,,28.2,,4.1,,23.8,,35.8,,26.2,
Bangladesh,,2019 M,,0.102,,24.2,,"39,919",,42.1,,8.7,,1.3,,16.7,,6.7,,22.9,,15.4,,1.4,,4.6,,22.9,,16.0,
Belize,,2011 M,,0.030,,7.4,,24,,41.1,,4.6,,2.6,,1.9,,3.5,,4.5,,1.9,,0.8,,2.8,,4.4,,2.5,
Belize,,2015/2016 M,,0.020,,4.9,,18,,40.2,c,3.5,c,1.7,,0.7,,1.7,,3.2,,2.3,c,0.7,c,2.6,c,3.0,,1.3,
Benin,,2006 D,,0.430,,73.4,,"6,383",,58.5,,39.3,,13.1,,53.6,,40.3,,72.9,,71.2,,38.9,,65.8,,57.0,,28.8,
Benin,,2014 M,,0.342,,63.2,,"6,967",,54.2,,31.8,,11.6,,42.5,,28.9,,62.7,,61.4,,32.2,,54.2,,44.3,,16.3,
Benin,,2017/2018 D,,0.362,,66.0,,"8,169",,54.8,c,33.6,c,10.3,,44.3,c,35.3,,65.5,,63.7,c,36.6,,54.6,c,42.5,c,17.5,c
Benin,,2021/2022 M,,0.290,,55.9,,"7,695",,51.8,,26.1,,6.8,,38.6,,28.8,,54.4,,52.2,,24.8,,34.9,,33.8,,20.3,
Bolivia,,2003 D,,0.167,,33.9,,"3,068",,49.2,,17.0,,4.2,,15.9,,13.0,,27.1,,33.2,,15.4,,22.3,,32.7,,19.1,
Bolivia,,2008 D,,0.095,,20.6,,"2,031",,46.2,,10.2,,2.7,,11.6,,3.4,,17.9,,20.1,,8.2,,13.2,,17.0,,11.4,
Bolivia,,2016 N,,0.038,,9.1,,"1,018",,41.7,,3.7,,0.5,,5.8,,1.4,,7.2,,8.7,,3.1,,3.8,,7.5,,3.8,
Bosnia and Herzegovina,e,2006 M,,0.015,,3.9,,160,,38.9,,3.3,,,,0.8,,0.4,,2.5,,0.6,,0.3,,0.1,,0.7,,0.4,
Bosnia and Herzegovina,e,2011/2012 M,,0.008,,2.2,,80,,37.9,c,2.0,,,,0.2,,0.2,,1.5,,0.3,,0.0,,0.1,c,0.0,,0.1,
Burkina Faso,,2010 D,,0.512,,83.7,,"13,538",,61.2,,47.3,,17.0,,68.4,,52.3,,83.1,,76.1,,41.1,,81.3,,71.5,,13.6,
Burkina Faso,,2021 D,,0.343,,64.5,,"14,181",,53.2,,34.2,,6.2,,32.5,,48.2,,62.7,,47.5,,41.6,c,60.8,,37.4,,3.9,
Burundi,,2010 D,,0.464,,82.3,,"7,716",,56.4,,53.3,,8.7,,50.5,,28.0,,82.1,,56.5,,53.7,,81.4,,78.8,,60.8,
Burundi,,2016/2017 D,,0.409,,75.1,,"8,641",,54.4,,50.6,,7.9,c,42.6,,24.0,,74.9,,45.7,,42.8,,73.5,,70.6,,53.3,
Cambodia,,2010 D,,0.225,,47.1,,"6,832",,47.8,,28.7,,3.1,,26.3,,10.4,,46.6,,42.1,,25.2,,42.6,,29.1,,14.6,
Cambodia,,2014 D,,0.168,,36.7,,"5,654",,45.8,,20.2,,1.8,,21.5,,10.7,c,35.8,,30.3,,20.0,,26.1,,21.7,,6.5,
Cambodia,,2021/2022 D,,0.070,,16.6,,"2,863",,42.3,,8.6,,0.5,,10.5,,9.8,c,12.1,,8.6,,5.0,,4.6,,4.6,,3.7,
Cameroon,,2011 D,,0.258,,47.6,,"9,639",,54.2,,28.0,,11.3,,24.2,,18.1,,46.9,,36.3,,33.3,,38.8,,40.4,,24.2,
Cameroon,,2014 M,,0.240,c,45.4,c,"10,016",,52.8,c,24.4,,9.7,,23.4,c,15.3,,44.7,c,40.3,,28.8,,36.9,c,39.0,c,22.8,c
Cameroon,,2018 D,,0.229,c,43.2,c,"10,726",,53.1,c,25.2,c,8.4,c,19.3,,19.4,,42.6,c,33.3,,26.7,c,34.6,c,36.8,c,22.1,c
Central African Republic,,2010 M,,0.454,,78.8,,"3,541",,57.6,,37.2,,40.2,,38.7,,27.5,,78.6,,67.2,,53.6,,75.6,,72.6,,38.2,
Central African Republic,,2018/2019 M,,0.512,,84.1,,"4,160",,60.8,,44.4,,36.7,,46.3,,30.8,,83.6,,78.4,,62.7,,77.5,c,78.2,,66.1,
Chad,,2010 M,,0.595,,89.8,,"11,055",,66.3,,47.1,,44.6,,64.8,,46.4,,88.9,,83.6,,64.4,,87.4,,87.4,,50.6,
Chad,,2014/2015 D,,0.578,,89.4,c,"13,090",,64.7,,46.0,c,40.1,,57.7,,52.5,,88.3,c,85.3,c,61.2,c,85.1,,86.0,c,45.8,
Chad,,2019 M,,0.554,,87.1,,"14,536",,63.6,,44.8,c,32.6,,58.0,c,55.7,,84.6,,79.8,,48.2,,83.4,c,82.8,,44.9,c
China,h,2010 N,,0.041,,9.5,,"128,041",,43.2,,6.3,,0.8,,5.8,,1.3,,8.5,,4.4,,7.2,,0.3,,,,5.5,
China,h,2014 N,,0.018,,4.2,,"58,429",,41.6,c,3.4,,0.6,,2.2,,1.4,c,3.1,,1.0,,2.1,,0.0,c,,,1.2,
