album_id,album_name,label,popularity,release_date
1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,Taylor Swift,84,2024-04-18
7MNrrItJpom6uMJWdT0XD8,Dark Matter,Pearl Jam/Monkeywrench,58,2024-04-19
4YQ8O3PQb7cZnnLeqNPaa1,HERicane,Keep Cool/RCA Records,41,2024-04-19
4MGpOqMU3FlZ7li35laoBu,Teka (with Peso Pluma),DJ Snake Music Productions Limited,49,2024-04-17
0sJhrYC1988r2NNxsmzk3V,REBEL,Sparrow (SPR),62,2024-04-19
5nabWI5Yf9uYtDS79CXVHu,Define My Name,Mass Appeal,37,2024-04-19
7hf5xjz74wwX1wS76DU2Ik,"Wasteland, Baby! (Special Edition)",UMC (Universal Music Catalogue),54,2019-03-01
2fDJNwprKYSK4ovmRzcoe4,Baddy On The Floor,Young,53,2024-04-15
2Cqf3izEp75CqTKgul5Mi1,For Life (feat. Nile Rodgers),Kygo/RCA Records,62,2024-04-19
2HLdCDKtyV4VxHLYk5xvAS,Espectacular,Sony Music Latin,60,2024-04-18
51JYG8XPpVVVA7uQTnm4tI,Half Life,Wyatt Flores - OEG Music PS/ Island,61,2024-04-19
1KkyOpscmbPAQzLNZDyI6o,Starburster,XL Recordings,50,2024-04-17
59BxJKNg7wRYlJxAahb3YW,WAHALA (FEAT. OLAMIDE),Warner Music Africa,51,2024-04-19
1qJghQpnRM2sRbhX3lWXHz,Suffer In Silence,300 Entertainment,34,2024-04-19
0VZCWi3C9oARyCsoZKCMhg,Damascus,Wheelhouse Records,40,2024-04-19
34GevB4U1WHwDcm7kQmANH,Vampire in Beverly Hills,RCA Records Label,44,2024-04-19
2LsEbodgqI6P1q7QEVe3P7,Memory Morning,Monday Records,36,2024-04-19
2GamOIjCp5gNSw7n4RKLZt,Cangrinaje,La Industria INC,0,2024-04-18
33oGkitXxjRXWQwCx00jDb,Dark Vacay,Partisan Records,28,2024-04-16
2We3SA07PIDpZQmWvTm7CM,"A Song For You (Live At The Hollywood Bowl, Los Angeles, CA - April 29, 2023)",Legacy Recordings,28,2024-04-19
2e3Khs3vVusg6i0Ly2wni9,Undone (Love & Loss),Atlantic Records,25,2024-04-19
7iRrjlIP9COrhuNaX65WZb,Fame Won’t Love You (feat. Paris Hilton),Monkey Puzzle/Atlantic,32,2024-04-19
6fFP8CR3WRLZxwnrvBfGTh,Happy World,Debbii Dawson Music/RCA Records,41,2024-04-19
7ChVqPO3roVcHSLi32PnIK,TECHNICIAN,Native Sounds/Def Jam PS,45,2024-04-19
6s144Vjf21zEdbZpySRE82,Again,"Still Woozy Productions Inc., under exclusive license to Interscope Records",39,2024-04-19
6I4MP7YoLlBWfiQCqjJc4d,"Heads I Win, Tails You Lose",ALC / Gangrene,35,2024-04-19
3ey0JVQZp7VBFWHEs7z6X1,Dennis Daughter (Deluxe Version),Arista Records,25,2024-04-19
3l1waWo8qk4IVtyuzKD4bx,44ever,BMG Rights Management (US) LLC,36,2024-04-19
1X1uDkDDs2BQiKlghA0gVQ,"Are You Going to See the Rose in the Vase, or the Dust on the Table",G59 Records,52,2024-04-19
5rNHpyAfV4fdowwcH1U1if,Shudder,Ballona Record Company,24,2024-04-16
48RK0tOaRdgmliEhNBLUXe,BREAK A NECK,Artist Partner Group,14,2024-04-18
3QuRvvoQDqZybOukNzNu3V,It Is What It Is,Parlophone UK,30,2024-04-19
76AAYzJLL9rJHfOkPNAeB9,How You Feel (Ft. Leven Kali),No Art,60,2024-04-19
5O4v55zC7ya6mxjiQ2xJRU,Reptilia,Warner Records,26,2024-04-19
1kfbsMBtTpCrrXqUnBYjjH,That's My Girl & Tired,DIEMON,53,2024-04-19
5YoeeJL0Ks1sYbc79jOBO7,Nothing To Do,"LoveTap Records, LLC, under exclusive license to Capitol Records",27,2024-04-19
3yscJ56s1RNgZSZngqDBNa,Why is everyone a DJ?,R&R Digital,28,2024-04-19
3uhGsFAXshXmRs9qLiYqGz,CHILDREN OF THE SLUMS,"Mozzy Records, Inc.",45,2024-04-19
204AnaLrCMvOeXCCO5JqH1,Pirates & Parrots (feat. Mac McAnally),Home Grown Music/Warner Music Nashville,39,2024-04-19
3dSpkvGKm8sUghxdS1pvwE,ES SOLO MÚSICA,Acqustic,51,2024-04-19
5VJTZMk9joIX2t80S9e6ov,Your Day Will Come,Jagjaguwar,24,2024-04-19
4ZfTvGloipTYCjdwdO93nX,Live on Mountain Stage: Outlaws & Outliers,Oh Boy Records,0,2024-04-19
6URXDFFdBVEQUA7eCLfHVo,Maybe,Arista Records,46,2024-04-19
3bSNhnaQQXpC639OQ4pMyP,WE STILL DON'T TRUST YOU,Wilburn Holding Co./Boominati/Epic/Republic,77,2024-04-12
68mwSgiHv3JF9nrw9feMrt,Illusion,Warner Records,9,2024-04-11
5quMTd5zeI9yW5UDua8wS4,Espresso,Island Records,79,2024-04-12
2H6k8joKIeY5mLZVPyPVfu,b i g f e e l i n g s,Three Six Zero Recordings,35,2024-04-11
4lHX02NbEG7B7f7LHfcAUg,MERCEDES,Kemosabe Records/RCA Records/Sony Music Latin,50,2024-04-11
4EYRBdtOIR0fkTzVXN6bvI,L o s e M y M i n d,OVO Sound,0,2024-04-11
3q149oaxOiW9EoHXqM5nvO,Don't Forget Me,Capitol Records,61,2024-04-12
